Region,Seed,Team
South,1,Auburn
South,2,Houston
South,3,Kentucky
South,4,Michigan St
South,5,Marquette
South,6,Louisville
South,7,Memphis
South,8,Gonzaga
South,9,New Mexico
South,10,Nebraska
South,11,Arkansas
South,11,VCU
South,12,McNeese St
South,13,High Point
South,14,Chattanooga
South,15,Montana
South,16,NE Omaha
South,16,SE Missouri St
Midwest,1,Alabama
Midwest,2,Wisconsin
Midwest,3,Arizona
Midwest,4,St John's
Midwest,5,Maryland
Midwest,6,Mississippi
Midwest,7,Kansas
Midwest,8,Oregon
Midwest,9,Baylor
Midwest,10,Ohio St
Midwest,11,UC San Diego
Midwest,12,Drake
Midwest,13,Jacksonville St
Midwest,14,Utah Valley
Midwest,15,Norfolk St
Midwest,16,Bryant
West,1,Florida
West,2,Iowa St
West,3,Texas A&M
West,4,Michigan
West,5,Mississippi St
West,6,Clemson
West,7,Illinois
West,8,Connecticut
West,9,Utah St
West,10,San Diego St
West,11,BYU
West,12,Yale
West,13,Lipscomb
West,14,South Alabama
West,15,Cleveland St
West,16,Quinnipiac
East,1,Duke
East,2,Tennessee
East,3,Texas Tech
East,4,Purdue
East,5,Missouri
East,6,UCLA
East,7,St Mary's CA
East,8,Creighton
East,9,Texas
East,10,West Virginia
East,11,Vanderbilt
East,11,Wake Forest
East,12,George Mason
East,13,Akron
East,14,Towson
East,15,Central Conn
East,16,Southern Univ
East,16,American Univ
