Year,Ranking,Team
1985,1,Georgetown
1985,2,Illinois
1985,3,DePaul
1985,4,Indiana
1985,5,Oklahoma
1985,6,Duke
1985,7,St John's
1985,8,Memphis
1985,9,Washington
1985,10,SMU
1985,11,UNLV
1985,12,Syracuse
1985,13,NC State
1985,14,LSU
1985,15,Virginia Tech
1985,16,Arkansas
1985,17,Louisville
1985,18,Kentucky
1985,19,Kansas
1985,20,Georgia Tech
1986,1,Georgia Tech
1986,2,North Carolina
1986,3,Michigan
1986,4,Syracuse
1986,5,Kansas
1986,6,Duke
1986,7,Illinois
1986,8,Georgetown
1986,9,Louisville
1986,10,Auburn
1986,11,Kentucky
1986,12,Notre Dame
1986,13,Oklahoma
1986,14,LSU
1986,15,Memphis
1986,16,UAB
1986,17,NC State
1986,18,UNLV
1986,19,Maryland
1986,20,Navy
1987,1,North Carolina
1987,2,Louisville
1987,3,Indiana
1987,4,Purdue
1987,5,UNLV
1987,6,Georgia Tech
1987,7,Oklahoma
1987,8,Kansas
1987,9,Navy
1987,10,Iowa
1987,11,Kentucky
1987,12,Auburn
1987,13,Alabama
1987,14,Illinois
1987,15,Syracuse
1987,16,Pittsburgh
1987,17,NC State
1987,18,Georgetown
1987,19,Arizona
1987,20,Cleveland St
1988,1,Syracuse
1988,2,Purdue
1988,3,North Carolina
1988,4,Pittsburgh
1988,5,Kentucky
1988,6,Indiana
1988,7,Kansas
1988,8,Missouri
1988,9,Michigan
1988,10,Wyoming
1988,11,Iowa
1988,12,Temple
1988,13,Louisville
1988,14,Florida
1988,15,Duke
1988,16,Georgetown
1988,17,Arizona
1988,18,Georgia Tech
1988,19,Oklahoma
1988,20,DePaul
1989,1,Duke
1989,2,Georgetown
1989,3,Michigan
1989,4,Louisville
1989,5,Oklahoma
1989,6,North Carolina
1989,7,Iowa
1989,8,Syracuse
1989,9,Illinois
1989,10,UNLV
1989,11,Arizona
1989,12,Villanova
1989,13,Georgia Tech
1989,14,Missouri
1989,15,Florida
1989,16,Florida St
1989,17,Ohio St
1989,18,NC State
1989,19,Temple
1989,20,Stanford
1990,1,UNLV
1990,2,LSU
1990,3,Syracuse
1990,4,Michigan
1990,5,Georgetown
1990,6,Arizona
1990,7,North Carolina
1990,8,Illinois
1990,9,Arkansas
1990,10,Duke
1990,11,Missouri
1990,12,Louisville
1990,13,UCLA
1990,14,Indiana
1990,15,Temple
1990,16,Oklahoma
1990,17,Notre Dame
1990,18,Pittsburgh
1990,19,NC State
1990,20,Minnesota
1990,21,Oklahoma St
1990,22,Georgia Tech
1990,23,Florida
1990,24,Memphis
1990,25,St John's
1991,1,UNLV
1991,2,Arkansas
1991,3,Arizona
1991,4,Michigan St
1991,5,North Carolina
1991,6,Duke
1991,7,Alabama
1991,8,Indiana
1991,9,Georgetown
1991,10,Ohio St
1991,11,UCLA
1991,12,Pittsburgh
1991,13,Syracuse
1991,14,LSU
1991,15,Oklahoma
1991,16,Georgia Tech
1991,17,Connecticut
1991,18,Virginia
1991,19,Temple
1991,20,Missouri
1991,21,Georgia
1991,22,Texas
1991,23,Louisville
1991,24,Southern Miss
1991,25,St John's
1992,1,Duke
1992,2,Indiana
1992,3,Arkansas
1992,4,Kentucky
1992,5,Arizona
1992,6,LSU
1992,7,Ohio St
1992,8,North Carolina
1992,9,Seton Hall
1992,10,St John's
1992,11,UCLA
1992,12,Kansas
1992,13,Oklahoma St
1992,14,Utah
1992,15,Connecticut
1992,16,Georgetown
1992,17,Alabama
1992,18,DePaul
1992,19,Oklahoma
1992,20,Michigan
1992,21,Iowa
1992,22,Wake Forest
1992,23,Georgia Tech
1992,24,Arizona St
1992,25,Louisville
1993,1,Michigan
1993,2,Kansas
1993,3,Duke
1993,4,Indiana
1993,5,Kentucky
1993,6,Seton Hall
1993,7,North Carolina
1993,8,Memphis
1993,9,Florida St
1993,10,Arizona
1993,11,Iowa
1993,12,Georgetown
1993,13,Louisville
1993,14,Georgia Tech
1993,15,Oklahoma
1993,16,Connecticut
1993,17,Tulane
1993,18,Syracuse
1993,19,Iowa St
1993,20,Michigan St
1993,21,Cincinnati
1993,22,UNLV
1993,23,Massachusetts
1993,24,UCLA
1993,25,Nebraska
1994,1,North Carolina
1994,2,Kentucky
1994,3,Arkansas
1994,4,Duke
1994,5,Michigan
1994,6,California
1994,7,Louisville
1994,8,Temple
1994,9,Kansas
1994,10,Minnesota
1994,11,Oklahoma St
1994,12,Indiana
